case_id,target,method,attained,score,quality,B,U,total,peak
C047,4,LocalGreedy,True,1.7758780618508387,1.4158780618508389,4,2,0.0,0.0
C047,4,LG+Count,True,1.7758780618508387,1.4158780618508389,4,2,0.0,0.0
C047,4,LG+CS,True,2.7078796503505824,2.1678796503505824,4,3,0.0,0.0
C047,4,JBC,True,2.7170398859903497,2.1770398859903497,4,3,0.0,0.0
C047,5,LocalGreedy,True,2.6595701280760125,2.1195701280760124,5,3,0.0,0.0
C047,5,LG+Count,True,2.6595701280760125,2.1195701280760124,5,3,0.0,0.0
C047,5,LG+CS,True,2.708618846134288,2.1690352204842878,5,3,0.000396547,0.000396547
C047,5,JBC,True,2.7147261721559537,2.1747261721559537,5,3,0.0,0.0
C047,6,LocalGreedy,True,2.659605645391096,2.119605645391096,6,3,0.0,0.0
C047,6,LG+Count,True,2.659605645391096,2.119605645391096,6,3,0.0,0.0
C047,6,LG+CS,True,2.6987631533971004,2.1591795277471,6,3,0.000396547,0.000396547
C047,6,JBC,True,2.7086561175925983,2.169072491942598,6,3,0.000396547,0.000396547
C048,1,LocalGreedy,True,0.8821163941839818,0.7021163941839818,1,1,0.0,0.0
C048,1,LG+Count,True,0.8821163941839818,0.7021163941839818,1,1,0.0,0.0
C048,1,LG+CS,True,0.9096307206808087,0.7296307206808087,1,1,0.0,0.0
C048,1,JBC,True,0.9160755139323256,0.7360755139323255,1,1,0.0,0.0
C048,2,LocalGreedy,True,1.7324844748426451,1.372484474842645,2,2,0.0,0.0
C048,2,LG+Count,True,1.7324844748426451,1.372484474842645,2,2,0.0,0.0
